,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
0,askance_RB,76,91,['askance_RB'],-0.259867127,12.94035224
2,let_NN,386,2508,"['let_NNP', 'let_NNS', 'let_NN']",-2.6998645960000003,10.59582271
3,closer_RB,700,6025,"['closer_RBR', 'closer_RB']",-3.1055344139999996,9.73706864
4,bleak_JJ,100,1135,"['bleak_JJ', 'bleak_JJR', 'bleak_JJS']",-3.504620392,12.54442356
6,favorably_RB,93,1377,['favorably_RB'],-3.888154033,12.64912094
8,eagerly_RB,96,1551,['eagerly_RB'],-4.01402047,12.60331725
10,closely_RB,1260,23974,['closely_RB'],-4.249975,8.889071734
11,straight_RB,312,6118,['straight_RB'],-4.293442173,10.90287753
12,in-depth_JJ,302,5963,['in-depth_JJ'],-4.303417882,10.94987501
13,inside_JJ,105,2191,['inside_JJ'],-4.3831282510000005,12.47403423
14,promising_JJ,285,6261,['promising_JJ'],-4.457359277,11.03346164
15,recruit_VB,509,11471,"['recruit_VBG', 'recruit_VBD', 'recruit_VB', 'recruit_VBN']",-4.494181698999999,10.19675791
16,shoulder_NN,403,9634,"['shoulder_NNS', 'shoulder_NN', 'shoulder_NNP']",-4.57928318,10.53364372
17,foolish_JJ,79,1947,['foolish_JJ'],-4.623256421000001,12.884499
18,silly_JJ,106,2652,"['silly_JJ', 'silly_JJR']",-4.644944606,12.4603593
19,backward_RB,115,3054,['backward_RB'],-4.730994296,12.342789699999999
20,microscope_NN,93,2490,"['microscope_NN', 'microscope_NNS']",-4.742771216,12.64912094
21,pale_JJ,111,2997,"['pale_JJ', 'pale_JJR']",-4.754887502,12.39386389
22,alike_RB,241,6558,['alike_RB'],-4.76615085,11.27539042
23,neat_JJ,86,2368,"['neat_JJ', 'neat_JJR']",-4.783188611,12.762015
25,experienced_JJ,346,9946,['experienced_JJ'],-4.845272488,10.75365152
26,ugly_JJ,116,3374,"['ugly_JJ', 'ugly_JJR', 'ugly_JJS']",-4.862263263,12.33029876
27,suspicious_JJ,122,3607,['suspicious_JJ'],-4.88584637,12.25754241
28,carefully_RB,646,19462,['carefully_RB'],-4.912982,9.852889397
29,back_RB,4550,139252,['back_RB'],-4.935687693,7.036628922
30,inside_RB,79,2443,['inside_RB'],-4.9506574,12.884499
31,pause_VB,86,2748,"['pause_VBN', 'pause_VBZ', 'pause_VB', 'pause_VBD', 'pause_VBG', 'pause_VBP']",-4.9979015339999995,12.762015
33,weird_JJ,91,3011,"['weird_JJ', 'weird_JJR', 'weird_JJS']",-5.048232353,12.68048511
34,tired_JJ,125,4269,['tired_JJ'],-5.093898163,12.22249547
40,pretty_RB,635,23796,['pretty_RB'],-5.2278186810000005,9.87766697
41,funny_JJ,158,5946,"['funny_JJ', 'funny_JJS', 'funny_JJR']",-5.233923,11.884499
42,auction_NN,149,5616,"['auction_NNS', 'auction_NN']",-5.2361587,11.96911123
44,stupid_JJ,98,3829,"['stupid_JJ', 'stupid_JJS']",-5.288042101,12.57356991
45,briefly_NN,77,3042,['briefly_NN'],-5.304017897,12.92149321
46,fresh_JJ,426,17486,"['fresh_JJ', 'fresh_JJR', 'fresh_JJS']",-5.359203063,10.45357013
48,clue_NN,120,5118,"['clue_NNS', 'clue_NN']",-5.414473836,12.28138916
49,dirty_JJ,107,4639,"['dirty_JJ', 'dirty_JJR']",-5.438131144,12.44681277
51,close_JJ,919,40339,"['close_JJ', 'close_JJR', 'close_JJS']",-5.4559666479999995,9.344358701
52,quick_JJ,420,18476,"['quick_JJ', 'quick_JJR', 'quick_JJS']",-5.4591193129999995,10.47403423
58,cool_JJ,283,13272,"['cool_JJ', 'cool_JJR', 'cool_JJS']",-5.551439928,11.04362151
59,critically_RB,112,5502,['critically_RB'],-5.618385502000001,12.38092483
60,watch_NN,189,9568,"['watch_NN', 'watch_NNS', 'watch_NNP']",-5.66175925,11.62603733
63,odd_JJ,107,5582,"['odd_JJ', 'odd_JJR']",-5.705099422999999,12.44681277
64,fascinating_JJ,100,5361,['fascinating_JJ'],-5.74443023,12.54442356
67,attractive_JJ,189,10313,['attractive_JJ'],-5.769934022,11.62603733
68,realistic_JJ,149,8139,['realistic_JJ'],-5.771467313,11.96911123
69,hard_RB,250,13703,"['hard_RB', 'hard_RBR', 'hard_RBS']",-5.776419872000001,11.22249547
70,enthusiastic_JJ,80,4422,['enthusiastic_JJ'],-5.788555215,12.86635166
73,feel_VB,1511,85310,"['feel_VBZ', 'feel_VBP', 'feel_VB', 'feel_VBG']",-5.819139298,8.626991807000001
77,outside_JJ,301,18301,['outside_JJ'],-5.926015185,10.95466008
78,round_NN,325,19775,"['round_NN', 'round_NNS', 'round_NNP']",-5.927094166,10.84398384
82,good_JJ,5246,320345,"['good_JJ', 'good_JJR']",-5.932264855,6.83127766
83,constantly_RB,186,11718,['constantly_RB'],-5.977279922999999,11.64912094
85,impressive_JJ,131,8313,['impressive_JJ'],-5.987730495,12.15485675
88,wander_VB,81,5261,"['wander_VBG', 'wander_VBD', 'wander_VB', 'wander_VBN', 'wander_VBP', 'wander_VBZ']",-6.021271332,12.84842975
90,saw_VB,631,41028,['saw_VBD'],-6.022825012999999,9.886783557000001
91,sharp_JJ,147,9662,"['sharp_JJ', 'sharp_JJR', 'sharp_JJS']",-6.038433792999999,11.98860741
93,talented_JJ,79,5273,['talented_JJ'],-6.060627533,12.884499
94,smile_NN,75,5024,"['smile_NN', 'smile_NNS']",-6.065802057999999,12.95946106
95,ought_MD,153,10253,['ought_MD'],-6.066370637,11.93089191
96,continually_RB,100,6741,['continually_RB'],-6.07489072,12.54442356
97,info_NN,77,5200,"['info_NN', 'info_NNP']",-6.077509367,12.92149321
98,left_NN,147,10238,"['left_NN', 'left_NNP']",-6.121973946000001,11.98860741
100,gray_JJ,116,8105,['gray_JJ'],-6.126615475,12.33029876
101,dress_NN,97,6841,"['dress_NN', 'dress_NNS', 'dress_NNP']",-6.1400786720000005,12.58836691
102,down_RB,626,44260,['down_RB'],-6.143696984,9.898260905
103,take_VB,6965,493717,"['take_VB', 'take_VBN', 'take_VBG', 'take_VBZ', 'take_VBD', 'take_VBP']",-6.147417159,6.422372114
104,giant_JJ,83,5903,['giant_JJ'],-6.152193195,12.81324032
105,honest_JJ,109,7787,['honest_JJ'],-6.158667586,12.42009543
109,deeply_RB,164,12093,"['deeply_RB', 'deeply_RBR']",-6.2043325639999996,11.83072775
112,smooth_JJ,110,8509,"['smooth_JJ', 'smooth_JJR']",-6.273414164,12.40692004
113,always_RB,1401,108913,['always_RB'],-6.2805754,8.736038512
114,tall_JJ,127,9886,"['tall_JJ', 'tall_JJR', 'tall_JJS']",-6.2824865039999995,12.19959507
117,hair_NN,221,17399,"['hair_NN', 'hair_NNS', 'hair_NNP']",-6.29881421,11.40037719
119,clothes_NN,115,9081,"['clothes_NNS', 'clothes_NNPS']",-6.30314541,12.342789699999999
122,actively_RB,159,12682,['actively_RB'],-6.317611706,11.8753968
123,terrible_JJ,90,7271,['terrible_JJ'],-6.336084984,12.69642666
125,buyer_NN,124,10186,"['buyer_NNS', 'buyer_NN', 'buyer_NNP']",-6.360103692000001,12.23408344
127,clock_NN,125,10306,"['clock_NNS', 'clock_NN', 'clock_NNP']",-6.365412592,12.22249547
128,lens_NN,198,16390,"['lens_NNS', 'lens_NN', 'lens_NNP']",-6.371171614,11.55892313
129,start_VB,1648,136988,"['start_VBD', 'start_VBZ', 'start_VBG', 'start_VB', 'start_VBP', 'start_VBN']",-6.377189467000001,8.501779225
130,identical_JJ,102,8517,['identical_JJ'],-6.383704292000001,12.51585441
131,specifically_RB,402,33651,['specifically_RB'],-6.387310066,10.53722806
132,horizon_NN,78,6565,"['horizon_NNS', 'horizon_NN', 'horizon_NNP']",-6.3951770770000005,12.90287753
133,clean_JJ,228,19341,"['clean_JJ', 'clean_JJR', 'clean_JJS']",-6.406484755,11.35538974
134,fine_NN,87,7533,"['fine_NN', 'fine_NNP']",-6.436065318,12.74533626
135,classic_JJ,105,9107,['classic_JJ'],-6.438514651,12.47403423
136,dress_VB,94,8219,"['dress_VBN', 'dress_VBG', 'dress_VBP', 'dress_VBD', 'dress_VB']",-6.4501583060000005,12.6336909
137,seriously_RB,166,14572,['seriously_RB'],-6.455871847999999,11.81324032
138,familiar_JJ,223,19577,['familiar_JJ'],-6.455972181,11.38737985
142,client_NN,739,65471,"['client_NNS', 'client_NN', 'client_NNP']",-6.46913784,9.658849197999999
144,angle_NN,119,10592,"['angle_NN', 'angle_NNS']",-6.475869642999999,12.29346199
145,shoe_NN,104,9258,"['shoe_NN', 'shoe_NNS']",-6.476045129,12.48784003
146,perfect_JJ,230,20544,['perfect_JJ'],-6.480939436,11.342789699999999
147,alternative_NN,338,30227,"['alternative_NNS', 'alternative_NN', 'alternative_NNP']",-6.482670743,10.78740032
148,nose_NN,81,7260,"['nose_NN', 'nose_NNS']",-6.48590383,12.84842975
149,telescope_NN,78,7004,"['telescope_NN', 'telescope_NNP', 'telescope_NNS']",-6.48856115,12.90287753
150,straight_JJ,87,7870,['straight_JJ'],-6.499204425,12.74533626
151,yellow_JJ,110,9982,"['yellow_JJ', 'yellow_JJR']",-6.503753475,12.40692004
153,past_NN,309,28259,"['past_NN', 'past_NNP', 'past_NNS']",-6.5149597660000005,10.91681672
154,alternative_JJ,206,18925,['alternative_JJ'],-6.521505153,11.50177922
155,heaven_NN,76,6997,"['heaven_NNS', 'heaven_NNP', 'heaven_NN', 'heaven_NNPS']",-6.524593263,12.94035224
156,bit_NN,513,47515,"['bit_NN', 'bit_NNS']",-6.533280392999999,10.18546474
158,up_RB,670,62550,['up_RB'],-6.544704979,9.800262467
161,cheap_JJ,173,16307,"['cheap_JJ', 'cheap_JJS', 'cheap_JJR']",-6.558575546,11.75365152
162,somewhat_RB,201,19038,['somewhat_RB'],-6.565542615,11.53722806
163,flat_JJ,127,12036,"['flat_JJ', 'flat_JJR', 'flat_JJS']",-6.566383705,12.19959507
164,notice_VB,215,20384,"['notice_VBD', 'notice_VBN', 'notice_VB', 'notice_VBG', 'notice_VBP']",-6.566956713,11.4400869
166,prospect_NN,123,11716,"['prospect_NNS', 'prospect_NN', 'prospect_NNP']",-6.573677973,12.24576525
168,resume_VB,110,10540,"['resume_VB', 'resume_VBP', 'resume_VBG', 'resume_VBZ', 'resume_VBN']",-6.582227532999999,12.40692004
170,sound_VB,199,19203,"['sound_VBP', 'sound_VBD', 'sound_VBG', 'sound_VBZ', 'sound_VB']",-6.592419473,11.55165513
171,brown_JJ,92,8883,['brown_JJ'],-6.59326932,12.664717800000002
173,investor_NN,156,15159,"['investor_NNS', 'investor_NN', 'investor_NNP']",-6.602484746,11.90287753
177,camera_NN,354,34658,"['camera_NN', 'camera_NNS', 'camera_NNP']",-6.613295233,10.7206742
