,OlfN,TotalN,Tokens,OAI,OSI
can_MD,4936,1016448,['can_MD'],-7.685978301067137,6.9191530728147255
again_RB,1051,98799,['again_RB'],-6.554661865146799,9.150732798001965
future_NN,1117,61904,"['future_NN', 'future_NNS', 'future_NNP', 'future_NNPS']",-5.792331542959902,9.06286628148083
particular_JJ,531,99100,['particular_JJ'],-7.544029386157059,10.13571170115999
be_VB,51858,12065940,"['be_VBP', 'be_VBD', 'be_VBZ', 'be_VB', 'be_VBG', 'be_VBN']",-7.862158031050471,3.526000805361961
difference_NN,249,71755,"['difference_NNS', 'difference_NN']",-8.170789812006635,11.228277819896062
'm_VB,1742,75959,"[""'m_VBP""]",-5.446404383487266,8.42175084336528
forward_RB,10302,39341,['forward_RB'],-1.9331091844483206,5.857642927240853
welcome_VB,119,16065,"['welcome_VBG', 'welcome_VB', 'welcome_VBP', 'welcome_VBN', 'welcome_VBZ', 'welcome_VBD']",-7.076815597050831,12.2934619886562
mr._NN,258,74530,['mr._NNP'],-8.174306383785558,11.17705249654089
turn_VB,550,89259,"['turn_VBD', 'turn_VB', 'turn_VBN', 'turn_VBP', 'turn_VBG', 'turn_VBZ']",-7.342422214797301,10.084991943552122
around_RB,968,12700,['around_RB'],-3.713677639272296,9.26941651468955
back_RB,4550,139252,['back_RB'],-4.935687692814056,7.036628921990722
mean_VB,444,123581,"['mean_VBZ', 'mean_VB', 'mean_VBP', 'mean_VBD', 'mean_VBN', 'mean_VBG']",-8.120681560772026,10.393863885614037
ahead_RB,1161,20508,['ahead_RB'],-4.142746925531729,9.007127495098578
only_RB,1837,395986,['only_RB'],-7.7519539883586015,8.345143840852794
then_RB,2574,329810,['then_RB'],-7.001479278871692,7.858483413743442
public_NN,97,73241,"['public_NN', 'public_NNP', 'public_NNS']",-9.560451026547707,12.588366909777015
plan_NN,334,142021,"['plan_NNS', 'plan_NN', 'plan_NNP']",-8.732040452226789,10.804575459490092
report_NN,535,157513,"['report_NN', 'report_NNS', 'report_NNP']",-8.201716296437407,10.124884670675634
say_VB,3642,605151,"['say_VBD', 'say_VBP', 'say_VB', 'say_VBN', 'say_VBZ', 'say_VBG']",-7.376420442524624,7.3577645449873055
government_NN,594,247619,"['government_NN', 'government_NNS', 'government_NNP']",-8.703443371556997,9.973960631163377
cause_NN,203,50380,"['cause_NN', 'cause_NNS', 'cause_NNP']",-7.955227584436427,11.522943834778967
force_NN,209,92083,"['force_NNS', 'force_NNP', 'force_NN']",-8.783288083703901,11.48092061988326
ca_MD,245,49576,['ca_MD'],-7.660716313969039,11.251641812961573
n't_RB,4249,485391,"[""n't_RB""]",-6.835880204765554,7.135372123650857
even_RB,1569,284686,['even_RB'],-7.503382384896641,8.572650114996046
take_VB,6965,493717,"['take_VB', 'take_VBN', 'take_VBG', 'take_VBZ', 'take_VBD', 'take_VBP']",-6.147417158740687,6.422372114475528
chart_NN,186,13883,"['chart_NNS', 'chart_NN', 'chart_NNP']",-6.221872924358854,11.649120940856111
support_NN,328,172301,"['support_NN', 'support_NNS']",-9.037019544514813,10.83072774734606
few_JJ,652,157862,"['few_JJ', 'few_JJR', 'few_JJS']",-7.919576252585923,9.839551597733067
place_NN,1435,172348,"['place_NNS', 'place_NN', 'place_NNP', 'place_NNPS']",-6.908130010024993,8.701444730401093
material_NN,389,143590,"['material_NNS', 'material_NN', 'material_NNPS', 'material_NNP']",-8.52796940888482,10.584653406977951
will_MD,7360,1291763,['will_MD'],-7.455419921160306,6.342789701019768
provide_VB,838,540403,"['provide_VB', 'provide_VBG', 'provide_VBZ', 'provide_VBN', 'provide_VBD', 'provide_VBP']",-9.332869724418654,9.477473318264792
school_NN,862,352477,"['school_NNP', 'school_NNS', 'school_NN']",-8.675625536494548,9.436735692875045
's_VB,2554,382576,"[""'s_VBZ""]",-7.226844037197498,7.86973694226142
america_NN,326,82277,"['america_NNP', 'america_NNPS']",-7.97947341631263,10.839551597733067
player_NN,246,41184,"['player_NNS', 'player_NN', 'player_NNP', 'player_NNPS']",-7.387281832881462,11.245765246624904
lead_VB,285,154550,"['lead_VB', 'lead_VBZ', 'lead_VBG', 'lead_VBD', 'lead_VBP', 'lead_VBN']",-9.082896019580843,11.03346164291204
young_JJ,822,99121,"['young_JJR', 'young_JJ', 'young_JJS']",-6.913908538307575,9.50528516828246
addition_NN,177,108804,"['addition_NN', 'addition_NNS']",-9.263766520225943,11.720674201881145
career_NN,414,65836,"['career_NN', 'career_NNS', 'career_NNP']",-7.31310210660268,10.494792794464818
path_NN,104,33878,"['path_NNS', 'path_NN', 'path_NNP']",-8.347621368568134,12.487840033823051
good_JJ,5246,320345,"['good_JJ', 'good_JJR']",-5.932264855016754,6.831277659699159
map_NN,331,35398,"['map_NN', 'map_NNS', 'map_NNP']",-6.740692822553526,10.817592345156926
must_MD,1155,307229,['must_MD'],-8.055277739679203,9.014602615660724
other_JJ,3355,743117,['other_JJ'],-7.791132797008297,7.476182700876597
get_VB,2278,394405,"['get_VBP', 'get_VBD', 'get_VBG', 'get_VB', 'get_VBN', 'get_VBZ']",-7.435766284073025,8.034727720256031
'll_MD,1275,72720,"[""'ll_MD""]",-5.833783047335249,8.871998220217924
have_VB,12586,3348496,"['have_VB', 'have_VBD', 'have_VBP', 'have_VBG', 'have_VBZ', 'have_VBN']",-8.05554958640855,5.568747524392092
just_RB,3731,295583,['just_RB'],-6.307857127111661,7.322933107147364
arm_NN,128,28627,"['arm_NNS', 'arm_NN']",-7.805088868891322,12.188279751964144
meeting_NN,304,95397,"['meeting_NN', 'meeting_NNS']",-8.293728763854725,10.940352238520559
tax_NN,191,135828,"['tax_NN', 'tax_NNS', 'tax_NNP']",-9.473992558216674,11.610850923928394
structure_NN,325,86025,"['structure_NN', 'structure_NNS', 'structure_NNPS', 'structure_NNP']",-8.04817245859589,10.843983844048326
willing_JJ,153,22873,['willing_JJ'],-7.223970137467624,11.930891909271493
united_NN,214,124464,['united_NNP'],-9.183902005173303,11.446812765562996
state_NN,965,520689,"['state_NNPS', 'state_NN', 'state_NNS', 'state_NNP']",-9.075677271166093,9.2738946198087
people_NN,3462,461112,"['people_NNS', 'people_NNPS']",-7.057367676070979,7.430889742597505
should_MD,2878,429613,['should_MD'],-7.221827247332146,7.697428875223846
next_JJ,965,120572,['next_JJ'],-6.965150256557278,9.2738946198087
citizen_NN,80,42546,"['citizen_NNS', 'citizen_NN', 'citizen_NNPS', 'citizen_NNP']",-9.054807786692535,12.86635165707678
know_VB,1634,344199,"['know_VBP', 'know_VBZ', 'know_VBD', 'know_VB', 'know_VBG', 'know_VBN']",-7.718691112219109,8.51408748381846
today_NN,743,110555,"['today_NN', 'today_NNP', 'today_NNS']",-7.21718634837015,9.651061351425547
chapter_NN,182,39847,"['chapter_NN', 'chapter_NNS', 'chapter_NNP']",-7.774388850064745,11.680485111765448
call_VB,360,188231,"['call_VB', 'call_VBP', 'call_VBN', 'call_VBD', 'call_VBZ', 'call_VBG']",-9.030291625000775,10.696426655634468
directory_NN,154,26081,"['directory_NN', 'directory_NNS', 'directory_NNP']",-7.403925025424404,11.921493211269242
not_RB,5439,1598943,['not_RB'],-8.199561368607018,6.779154041498829
