Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
pleasant_JJ,515,6219,['pleasant_JJ'],-3.59403828,9.74382134,20,6219,['pleasant_JJ'],-8.280538807000001,11.87929606
warmth_NN,190,2539,['warmth_NN'],-3.740189071,11.18239435,20,2539,['warmth_NN'],-6.988116585,11.87929606
sensation_NN,355,5193,"['sensation_NNS', 'sensation_NN']",-3.870677296,10.28057475,80,5199,"['sensation_NN', 'sensation_NNS']",-6.022090345,9.87929606
emotion_NN,524,9705,"['emotion_NNS', 'emotion_NN']",-4.2110894960000005,9.71882696,46,9705,"['emotion_NNS', 'emotion_NN']",-7.720950542000001,10.677662199999999
painful_JJ,207,5874,['painful_JJ'],-4.8266405930000005,11.058763,21,5874,['painful_JJ'],-8.127810128,11.80890673
compassion_NN,160,4728,"['compassion_NN', 'compassion_NNP']",-4.885086225,11.43032187,11,4728,"['compassion_NN', 'compassion_NNP']",-8.747582702,12.74179254
deeply_RB,388,12093,"['deeply_RB', 'deeply_RBR']",-4.961971726,10.15233712,131,12093,"['deeply_RB', 'deeply_RBR']",-6.528461567000001,9.167801154
pride_NN,240,7712,"['pride_NN', 'pride_NNP']",-5.005998741,10.84535937,14,7136,['pride_NN'],-8.993544978,12.39386923
warm_JJ,475,16623,"['warm_JJ', 'warm_JJR', 'warm_JJS']",-5.1291094489999995,9.860466258999999,68,16220,"['warm_JJ', 'warm_JJR']",-7.898023358,10.11376131
somehow_RB,230,9481,['somehow_RB'],-5.365333468,10.90675991,19,9481,['somehow_RB'],-8.962896005,11.95329664
smell_VB,88,3703,"['smell_VBZ', 'smell_VBD', 'smell_VB', 'smell_VBN', 'smell_VBP', 'smell_VBG']",-5.395047216,12.29281834,126,3702,"['smell_VBP', 'smell_VBN', 'smell_VBG', 'smell_VBD', 'smell_VB', 'smell_VBZ']",-4.8768092560000005,9.223944232000001
slight_JJ,164,8050,"['slight_JJ', 'slight_JJS', 'slight_JJR']",-5.617221063,11.39469796,29,8027,"['slight_JJS', 'slight_JJ']",-8.112664187,11.34324316
personally_RB,264,13182,['personally_RB'],-5.6418875360000005,10.70785584,31,13182,['personally_RB'],-8.732085345,11.24702784
physically_RB,152,8894,['physically_RB'],-5.870689176,11.50432245,24,8894,['physically_RB'],-8.533654189,11.61626165
cold_JJ,325,19162,"['cold_JJ', 'cold_JJR', 'cold_JJS']",-5.8816646189999995,10.40795405,55,18858,"['cold_JJ', 'cold_JJR']",-8.421529344,10.41986444
consciousness_NN,148,9299,['consciousness_NN'],-5.973406497999999,11.5427966,34,9299,['consciousness_NN'],-8.095397023,11.11376131
breath_NN,125,8057,"['breath_NN', 'breath_NNS', 'breath_NNP']",-6.010242756,11.78646568,23,7962,"['breath_NN', 'breath_NNS']",-8.4353532,11.677662199999999
funny_JJ,89,5822,"['funny_JJ', 'funny_JJS']",-6.031565692999999,12.27651653,30,5648,"['funny_JJ', 'funny_JJR']",-7.556633777999999,11.29433356
sense_NN,931,61765,['sense_NN'],-6.051864567999999,8.889612604,152,61765,['sense_NN'],-8.666574412000001,8.953296642
leg_NN,170,13974,"['leg_NNS', 'leg_NN']",-6.361066489,11.34285903,50,13974,"['leg_NNS', 'leg_NN']",-8.126601235,10.55736797
inner_JJ,124,10206,['inner_JJ'],-6.362933616,11.79805365,32,10206,['inner_JJ'],-8.317129926,11.20122416
never_RB,1362,117774,['never_RB'],-6.434150569,8.340738974,318,117774,['never_RB'],-8.532778602,7.888341199999999
shake_VB,95,8888,"['shake_VBG', 'shake_VBN', 'shake_VB', 'shake_VBD', 'shake_VBZ', 'shake_VBP']",-6.5477874929999995,12.18239435,14,7314,"['shake_VBD', 'shake_VB', 'shake_VBG', 'shake_VBZ']",-9.029089989,12.39386923
soft_JJ,146,13854,"['soft_JJ', 'soft_JJR', 'soft_JJS']",-6.568190400000001,11.5624254,91,13854,"['soft_JJ', 'soft_JJS', 'soft_JJR']",-7.250220317999999,9.693429515
moment_NN,408,40503,"['moment_NNS', 'moment_NN']",-6.633315808,10.07982462,74,40511,"['moment_NN', 'moment_NNS']",-9.096572712,9.99177079
skin_NN,214,21649,"['skin_NN', 'skin_NNS']",-6.6605457789999996,11.01078298,111,21921,"['skin_NN', 'skin_NNP', 'skin_NNS']",-7.625610126000001,9.406808288999999
cool_JJ,131,13272,"['cool_JJ', 'cool_JJR', 'cool_JJS']",-6.662675169,11.71882696,42,12873,"['cool_JJ', 'cool_JJR']",-8.259743263999999,10.80890673
someone_NN,517,53009,"['someone_NN', 'someone_NNS']",-6.679929233999999,9.738229491,113,52973,['someone_NN'],-8.872790632000001,9.381045193
body_NN,1006,104015,"['body_NN', 'body_NNS', 'body_NNPS', 'body_NNP']",-6.6920174789999995,8.777835372,212,103864,"['body_NN', 'body_NNP', 'body_NNS']",-8.936415712,8.473303701
nice_JJ,201,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-6.692272845,11.10119827,234,20453,"['nice_JJ', 'nice_JJR']",-6.44966013,8.330859436
soul_NN,146,15153,"['soul_NNS', 'soul_NN', 'soul_NNP']",-6.697491267999999,11.5624254,65,15181,"['soul_NN', 'soul_NNS', 'soul_NNP']",-7.867611393,10.17885634
anything_NN,506,52768,['anything_NN'],-6.704382109,9.769256387,110,52768,['anything_NN'],-8.90601597,9.419864442
finger_NN,90,10143,"['finger_NNS', 'finger_NN']",-6.816343705,12.26039687,154,10509,"['finger_NNS', 'finger_NN', 'finger_NNP']",-6.092551232999999,8.934437615
taste_NN,92,10719,"['taste_NN', 'taste_NNS']",-6.8643207429999995,12.22868801,153,10719,"['taste_NN', 'taste_NNS']",-6.130494857,8.943836313
almost_RB,606,72588,['almost_RB'],-6.904269462999999,9.509075978,133,72588,['almost_RB'],-9.092161011,9.14594172
hot_JJ,186,23908,"['hot_JJ', 'hot_JJS']",-7.006047016,11.21309115,69,22790,['hot_JJ'],-8.367588847,10.092699699999999
heart_NN,434,58878,"['heart_NN', 'heart_NNS', 'heart_NNP', 'heart_NNPS']",-7.083889813,9.990698729,269,58852,"['heart_NNS', 'heart_NN', 'heart_NNPS', 'heart_NNP']",-7.773341461,8.129761793
