,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
0,mpep_NN,244,356,['mpep_NNP'],-0.544996093,12.05328469
1,sidebar_NN,150,536,"['sidebar_NN', 'sidebar_NNP', 'sidebar_NNS']",-1.8372705000000003,12.75520334
2,firsthand_RB,199,940,['firsthand_RB'],-2.239892326,12.34739741
3,fit_JJ,274,1764,['fit_JJ'],-2.6866027630000002,11.88598994
4,appendix_NN,894,6712,"['appendix_NNP', 'appendix_NN', 'appendix_NNS', 'appendix_NNPS']",-2.908395979,10.179891
5,oracle9i_NN,162,1568,"['oracle9i_NNP', 'oracle9i_NNS']",-3.274859841,12.64417202
6,fit_NN,774,8181,"['fit_NN', 'fit_NNS', 'fit_NNP']",-3.401871729,10.38783227
7,fig_NN,628,6755,"['fig_NNP', 'fig_NNS', 'fig_NN']",-3.427119305,10.68940128
8,glad_JJ,509,6118,['glad_JJ'],-3.587322545,10.99250018
9,holy_NN,462,6124,['holy_NNP'],-3.7285095260000003,11.13227298
11,kan._NN,836,12167,['kan._NNP'],-3.8633267360000003,10.27666289
12,figure_NN,3369,54374,"['figure_NN', 'figure_NNS', 'figure_NNP']",-4.01252463,8.265917313
13,supp_NN,179,3036,['supp_NNP'],-4.084140298,12.50020625
15,naked_JJ,183,3221,['naked_JJ'],-4.137593107,12.46832219
16,surprise_VB,482,8491,"['surprise_VBN', 'surprise_VBD', 'surprise_VB', 'surprise_VBP']",-4.1388294210000005,11.07113269
18,rarely_RB,644,11926,['rarely_RB'],-4.2109057430000005,10.65310515
19,ever_RB,3375,67276,['ever_RB'],-4.317132523,8.263350239
22,'d_VB,158,3295,"[""'d_VBD""]",-4.382282002,12.68024128
23,k.s.a._NN,682,14382,['k.s.a._NNP'],-4.398348765,10.5703941
24,seldom_RB,184,3925,['seldom_RB'],-4.414914983,12.46046007
25,re_NN,153,3423,"['re_NN', 're_NNP']",-4.4836577339999995,12.72663418
27,delighted_JJ,158,3620,['delighted_JJ'],-4.5179932339999995,12.68024128
29,section_NN,4916,113144,"['section_NN', 'section_NNS', 'section_NNP']",-4.524531355,7.720752826
30,sight_NN,541,12591,"['sight_NNS', 'sight_NN', 'sight_NNP']",-4.540620465,10.90453724
34,clearly_RB,1792,45340,['clearly_RB'],-4.661141849,9.176667104
35,pleased_JJ,341,8896,['pleased_JJ'],-4.705313144,11.5703941
39,please_VB,2392,63260,"['please_VB', 'please_VBN', 'please_VBZ', 'please_VBG', 'please_VBD', 'please_VBP']",-4.7250042610000005,8.760020352
42,before_RB,724,20666,['before_RB'],-4.835125668,10.48417614
43,ca_MD,1736,49576,['ca_MD'],-4.835803021,9.222470793
44,curious_JJ,173,4959,['curious_JJ'],-4.841205282,12.5493938
45,hate_VB,153,4438,"['hate_VB', 'hate_VBP']",-4.85830611,12.72663418
46,doctor_NN,1151,33558,"['doctor_NNS', 'doctor_NN', 'doctor_NNP']",-4.865696998,9.815349908
48,eager_JJ,183,5480,['eager_JJ'],-4.90426034,12.46832219
49,excite_VB,236,7156,"['excite_VBN', 'excite_VB', 'excite_VBP', 'excite_VBZ', 'excite_VBD']",-4.922294623,12.10137898
50,emergence_NN,150,4555,['emergence_NN'],-4.924416648,12.75520334
52,wait_VB,1324,41252,"['wait_VBG', 'wait_VB', 'wait_VBD', 'wait_VBZ', 'wait_VBN', 'wait_VBP']",-4.961489039,9.613334619
53,table_NN,2237,70563,"['table_NN', 'table_NNP', 'table_NNS', 'table_NNPS']",-4.979274737,8.856672485
55,hear_VB,2330,74985,"['hear_VB', 'hear_VBG', 'hear_VBZ', 'hear_VBN', 'hear_VBP', 'hear_VBD']",-5.008200168,8.797907786
61,could_MD,10404,353052,['could_MD'],-5.08467048,6.639171342000001
62,ad_NN,701,23970,"['ad_NN', 'ad_NNS', 'ad_NNP', 'ad_NNPS']",-5.095671655,10.53075139
63,check_VB,1403,48361,"['check_VB', 'check_VBN', 'check_VBG', 'check_VBD', 'check_VBZ', 'check_VBP']",-5.107257163,9.529722732
64,diagram_NN,151,5248,"['diagram_NN', 'diagram_NNS', 'diagram_NNP']",-5.119147265,12.74561729
65,exhibit_NN,394,13970,"['exhibit_NN', 'exhibit_NNS', 'exhibit_NNPS', 'exhibit_NNP']",-5.1479925810000005,11.36197021
67,happen_VB,2074,74808,"['happen_VB', 'happen_VBZ', 'happen_VBG', 'happen_VBD', 'happen_VBN', 'happen_VBP']",-5.1727047619999995,8.965821847
70,light_NN,1327,50230,"['light_NN', 'light_NNS', 'light_NNP']",-5.242308999,9.610069371
71,detail_NN,1520,58004,"['detail_NNS', 'detail_NN', 'detail_NNP']",-5.254009164,9.414166417999999
72,can_MD,26329,1016448,['can_MD'],-5.270739873,5.299656918999999
