,OlfN,TotalN,Tokens,OAI,OSI
nauseous_JJ,89,193,['nauseous_JJ'],-1.116723606,12.27651653
pressured_JJ,116,270,['pressured_JJ'],-1.218834602,11.89426897
dizzy_JJ,127,415,['dizzy_JJ'],-1.708282839,11.76356527
helplessness_NN,119,429,['helplessness_NN'],-1.850016074,11.8574322
uncomfortable_JJ,757,3842,['uncomfortable_JJ'],-2.343492314,9.188100472
uneasy_JJ,206,1105,['uneasy_JJ'],-2.423330127,11.06574943
comfortable_JJ,2731,15553,['comfortable_JJ'],-2.509691668,7.337036363
embarrassed_JJ,147,915,['embarrassed_JJ'],-2.637955588,11.55257762
powerless_JJ,154,980,['powerless_JJ'],-2.669851398,11.48546342
relieved_JJ,101,651,['relieved_JJ'],-2.68830225,12.09403848
numb_JJ,103,679,['numb_JJ'],-2.720767237,12.06574943
helpless_JJ,212,1431,['helpless_JJ'],-2.754887502,11.02432951
compel_VB,708,4957,"['compel_VBN', 'compel_VBD', 'compel_VBZ', 'compel_VB']",-2.807645993,9.284644412
keenly_RB,88,674,['keenly_RB'],-2.937173163,12.29281834
pinch_NN,91,708,"['pinch_NN', 'pinch_NNS']",-2.95981091,12.24445532
ashamed_JJ,193,1517,['ashamed_JJ'],-2.974548333,11.15979292
confident_JJ,1042,8302,['confident_JJ'],-2.994103654,8.727110399
unpleasant_JJ,400,3193,['unpleasant_JJ'],-2.996840648,10.10839377
remorse_NN,97,859,['remorse_NN'],-3.146601479,12.15233712
insecure_JJ,112,996,['insecure_JJ'],-3.15264701,11.94489504
sadness_NN,178,1633,"['sadness_NN', 'sadness_NNP']",-3.197575645,11.27651653
lonely_JJ,229,2187,"['lonely_JJ', 'lonely_JJR', 'lonely_JJS']",-3.255533717,10.91304617
overwhelm_VB,357,3434,"['overwhelm_VBN', 'overwhelm_VBD', 'overwhelm_VB', 'overwhelm_VBZ', 'overwhelm_VBP']",-3.26589406,10.2724697
depressed_JJ,216,2126,['depressed_JJ'],-3.299038379,10.99736246
urge_NN,154,1550,['urge_NN'],-3.331265959,11.48546342
intimidate_VB,178,1829,"['intimidate_VBN', 'intimidate_VBD', 'intimidate_VBG']",-3.361105929,11.27651653
frustrated_JJ,220,2310,['frustrated_JJ'],-3.392317423,10.97089025
sorry_JJ,575,6136,"['sorry_JJ', 'sorry_JJS', 'sorry_JJR']",-3.415664622,9.584831816
guilt_NN,355,3984,['guilt_NN'],-3.488326718,10.28057475
betray_VB,194,2205,"['betray_VBN', 'betray_VBD', 'betray_VBZ', 'betray_VBG', 'betray_VBP', 'betray_VB']",-3.506650098,11.15233712
pleasant_JJ,515,6219,['pleasant_JJ'],-3.59403828,9.74382134
gut_NN,206,2517,"['gut_NN', 'gut_NNS', 'gut_NNP']",-3.610988974,11.06574943
tired_JJ,338,4269,['tired_JJ'],-3.658803011,10.35137053
hopeless_JJ,87,1120,['hopeless_JJ'],-3.686339521,12.30930647
resentment_NN,130,1714,"['resentment_NN', 'resentment_NNS']",-3.720783581,11.72988215
warmth_NN,190,2539,['warmth_NN'],-3.740189071,11.18239435
