,OlfN,TotalN,Tokens,OAI,OSI
sensorineural_JJ,58,74,['sensorineural_JJ'],-0.351472371,12.57310848
evidentiary_JJ,530,1512,['evidentiary_JJ'],-1.512393875,9.381240921
gunshot_NN,174,569,"['gunshot_NNS', 'gunshot_NN']",-1.709341346,10.98814597
examiner_NN,2106,7182,"['examiner_NN', 'examiner_NNS', 'examiner_NNP']",-1.769880217,7.39079975
scream_NN,147,932,"['scream_NNS', 'scream_NN']",-2.6645138,11.23141713
rustling_NN,36,236,['rustling_NN'],-2.712718048,13.26116447
conductive_JJ,72,475,['conductive_JJ'],-2.721858702,12.26116447
deaf_NN,61,410,['deaf_NNP'],-2.748742762,12.50035213
formal_NN,39,266,['formal_NNP'],-2.769880217,13.14568725
deaf_JJ,451,3126,['deaf_JJ'],-2.79311844,9.614105847
arb_NN,71,605,"['arb_NNP', 'arb_NN']",-3.091044213,12.28134235
din_NN,37,317,['din_NN'],-3.098885665,13.22163611
impairment_NN,612,5455,"['impairment_NN', 'impairment_NNS', 'impairment_NNP']",-3.155975639,9.173701628
permanency_NN,183,1640,"['permanency_NN', 'permanency_NNP']",-3.163780261,10.91538963
pre-trial_JJ,37,334,['pre-trial_JJ'],-3.174250927,13.22163611
muffle_VB,36,336,"['muffle_VBN', 'muffle_VBD']",-3.222392421,13.26116447
rumble_VB,64,623,"['rumble_VBG', 'rumble_VB', 'rumble_VBZ']",-3.283088353,12.43108947
roar_NN,87,869,"['roar_NN', 'roar_NNP']",-3.320268871,11.98814597
pretrial_JJ,97,998,['pretrial_JJ'],-3.362983163,11.83117663
hard_NN,35,388,['hard_NNP'],-3.470629825,13.30180645
deafness_NN,40,447,"['deafness_NNP', 'deafness_NN', 'deafness_NNPS']",-3.482202926,13.10916138
adjourn_VB,73,835,"['adjourn_VBD', 'adjourn_VB', 'adjourn_VBN', 'adjourn_VBG']",-3.515807828,12.24126491
gunfire_NN,45,515,"['gunfire_NN', 'gunfire_NNP']",-3.516575526,12.93923637
impair_VB,423,4984,"['impair_VBN', 'impair_VB', 'impair_VBD', 'impair_VBZ']",-3.5585745,9.706575618
footstep_NN,111,1329,"['footstep_NNS', 'footstep_NN']",-3.581709523,11.6366736
murmur_NN,45,572,"['murmur_NN', 'murmur_NNS']",-3.66801824,12.93923637
siren_NN,57,742,"['siren_NNS', 'siren_NN', 'siren_NNP']",-3.702385362,12.59819946
rumor_NN,276,3931,"['rumor_NNS', 'rumor_NN']",-3.832156192,10.32256501
whisper_NN,54,770,"['whisper_NN', 'whisper_NNS']",-3.833827133,12.67620197
preliminary_JJ,876,12807,['preliminary_JJ'],-3.869857888,8.656302411
revocation_NN,107,1665,"['revocation_NN', 'revocation_NNS', 'revocation_NNP']",-3.959839476,11.68962248
cry_NN,167,2746,"['cry_NN', 'cry_NNP']",-4.039411618,11.04738518
loud_JJ,313,5188,"['loud_JJ', 'loud_JJS']",-4.050943917,10.14107062
bark_VB,44,734,"['bark_VBG', 'bark_VBD', 'bark_VBP', 'bark_VB']",-4.060204634,12.97165785
teleconference_NN,61,1058,"['teleconference_NN', 'teleconference_NNS']",-4.116386575,12.50035213
alito_NN,36,626,['alito_NNP'],-4.120093845,13.26116447
groan_VB,37,663,"['groan_VBZ', 'groan_VBG', 'groan_VBD', 'groan_VB', 'groan_VBN']",-4.163411694,13.22163611
sentencing_NN,203,3842,['sentencing_NN'],-4.242305886,10.76575355
tasting_NN,60,1165,['tasting_NN'],-4.279223644,12.52419888
say_NN,56,1102,"['say_NN', 'say_NNP']",-4.298553587,12.62373455
thunder_NN,77,1532,"['thunder_NN', 'thunder_NNP']",-4.314414041,12.16430293
remand_NN,41,820,['remand_NN'],-4.321928095,13.07353747
testimony_NN,907,18235,"['testimony_NN', 'testimony_NNS', 'testimony_NNP']",-4.329463839,8.60613073
voice_NN,2418,50142,"['voice_NNS', 'voice_NN', 'voice_NNP']",-4.374133392,7.191490941
suppression_NN,141,3033,['suppression_NN'],-4.42697843,11.29153812
congressional_JJ,373,8351,['congressional_JJ'],-4.484701429,9.88805765
sound_NN,1243,28441,"['sound_NN', 'sound_NNS', 'sound_NNP']",-4.51607399,8.15147889
bail_NN,65,1488,['bail_NN'],-4.516790998,12.40872166
appeal_NN,2321,53150,"['appeal_NN', 'appeal_NNS', 'appeal_NNP', 'appeal_NNPS']",-4.517251264,7.250558663
confirmation_NN,255,5903,"['confirmation_NN', 'confirmation_NNP', 'confirmation_NNS']",-4.53287919,10.43673603
disciplinary_JJ,296,6898,['disciplinary_JJ'],-4.542509048,10.22163611
reschedule_VB,37,891,"['reschedule_VBN', 'reschedule_VBG', 'reschedule_VB', 'reschedule_VBD']",-4.589828256,13.22163611
expedite_VB,68,1648,"['expedite_VBN', 'expedite_VB']",-4.599037686,12.34362663
panel_NN,1368,33197,"['panel_NN', 'panel_NNS', 'panel_NNP', 'panel_NNPS']",-4.600912736,8.013236956
smell_VB,148,3705,"['smell_VBN', 'smell_VBD', 'smell_VB', 'smell_VBZ', 'smell_VBG', 'smell_VBP']",-4.645804462,11.22163611
contest_VB,103,2593,"['contest_VBN', 'contest_VB', 'contest_VBP']",-4.653905964,11.74458894
whistle_VB,46,1188,"['whistle_VBP', 'whistle_VB', 'whistle_VBG', 'whistle_VBN']",-4.690757165,12.90752751
remand_VB,59,1527,"['remand_VB', 'remand_VBN', 'remand_VBD', 'remand_VBP']",-4.693841297,12.54844642
testify_VB,681,17789,"['testify_VBD', 'testify_VB', 'testify_VBN', 'testify_VBG', 'testify_VBP', 'testify_VBZ']",-4.707186804,9.019578483
administrative_NN,130,3521,['administrative_NNP'],-4.759401699,11.40872166
parole_NN,126,3416,"['parole_NN', 'parole_NNP']",-4.760812336,11.45380955
disciplinary_NN,47,1294,['disciplinary_NNP'],-4.78303305,12.87650062
sermon_NN,56,1543,"['sermon_NNS', 'sermon_NN', 'sermon_NNP']",-4.784167425,12.62373455
reinstatement_NN,38,1108,['reinstatement_NN'],-4.865814653,13.18316196
subcommittee_NN,173,5052,"['subcommittee_NN', 'subcommittee_NNP', 'subcommittee_NNS', 'subcommittee_NNPS']",-4.868010696,10.99646124
noise_NN,491,14868,"['noise_NNS', 'noise_NN', 'noise_NNP']",-4.920343759,9.491510256
shout_VB,130,3962,"['shout_VB', 'shout_VBZ', 'shout_VBG', 'shout_VBD', 'shout_VBP', 'shout_VBN']",-4.929645352,11.40872166
've_VB,3480,106163,"[""'ve_VBP"", ""'ve_VB""]",-4.931049928,6.66621788
whisper_VB,51,1591,"['whisper_VB', 'whisper_VBG', 'whisper_VBD', 'whisper_VBN', 'whisper_VBZ']",-4.963292778,12.75866413
adjudication_NN,39,1219,"['adjudication_NN', 'adjudication_NNS']",-4.966080192,13.14568725
transcript_NN,275,8671,"['transcript_NN', 'transcript_NNS', 'transcript_NNP', 'transcript_NNPS']",-4.978694861,10.32780166
heartbeat_NN,35,1109,"['heartbeat_NN', 'heartbeat_NNP', 'heartbeat_NNS']",-4.985760633,13.30180645
sigh_NN,37,1175,"['sigh_NN', 'sigh_NNS']",-4.988991676,13.22163611
scream_VB,116,3718,"['scream_VBG', 'scream_VB', 'scream_VBP', 'scream_VBD']",-5.00233006,11.57310848
glad_JJ,188,6118,['glad_JJ'],-5.02425554,10.87650062
echo_NN,41,1335,['echo_NNS'],-5.025072022,13.07353747
loudly_RB,44,1440,['loudly_RB'],-5.032421478,12.97165785
yell_VB,77,2520,"['yell_VBG', 'yell_VBP', 'yell_VBD', 'yell_VB', 'yell_VBZ']",-5.032421478,12.16430293
impeachment_NN,42,1391,"['impeachment_NN', 'impeachment_NNP']",-5.049589282,13.03877205
impartial_JJ,49,1662,['impartial_JJ'],-5.083994823,12.81637963
congressional_NN,58,1977,['congressional_NNP'],-5.091116161,12.57310848
smell_NN,96,3290,"['smell_NN', 'smell_NNP']",-5.098909368,11.84612697
distinctly_RB,58,1992,['distinctly_RB'],-5.102020937,12.57310848
convene_VB,116,4007,"['convene_VBN', 'convene_VBZ', 'convene_VB', 'convene_VBG', 'convene_VBD', 'convene_VBP']",-5.110325799,11.57310848
